HERB NAME,Methodology ,Market Tag,Local medical preparation,Grounding,Suggested usage,Operative counter to,stage of implementation
Probable Defensive Measures,,,,,,,
Tinospora Cordifolia,Solvent,Samshamani Vati,Ayurveda,Samshamani Vati half kg in lukewarm H20,Two times/day for 15 days,Lingering High body Temperature ,Mild
Andrographis Paniculata,Solvent,Nilavembu kudineer,Siddha,Nilavembu kudineer 60 ml extract,Two times/day for 14 days,High body temperature and sore throat,Mild
"Cydonia Oblonga
Zizyphus Jujube
Cordia Myxa
",Solvent,"Behidana
Unnab
Sapistan
",Unani,"Behidana for 3 g
Unnab for 5 Nos
Sapistan for nine nos. 
",Two times/day for 14 days,"Antioxidant, immune-modulatory, anti-allergic, smooth muscle relaxant, anti-influenza activity",Mild
Arsenicum Album 30,Pill,Arsenicum album 30,Homeopathy,–,Daily once in empty stomach for three days (Should be repeated after one month till the infection persist).,"Effective against SARS-CoV-2, immune-modulator.",Mild
Suggestive Symptom Controlling Measures ,,,,,,,
Ayush -64,Pill,–,Ayurveda,–,2 Pills for two times/day,Respiratory infections,Moderate
Agastya Haritaki,Powdery extract,Agasthya Rasayanam,Ayurveda,5 g in lukewarm H2O,Two times/day,Upper respiratory infections,Mild
Anuthaila,Oily extract,Sesame Oily extract,Ayurveda,–,Two drops in each nostril daily morning,Respiratory infections,Mild
Adathodai Manapagu,Solvent,Adathodai Manapagu,Siddha,–,10 ml for two times/day,High body Temperature ,Mild
Bryonia Alba,Pill,Bryonia,Homeopathy,–,–,Reduce lung inflammation,Mild
Rhus Toxico Dendron,Pill,Rhus tox,Homeopathy,–,–,Viral infections,Mild
Atropa Belladonna,Pill,Belladonna,Homeopathy,–,–,Asthma and chronic lung diseases,Mild
Bignonia Sempervirens,Pill,Gelsemium,Homeopathy,–,–,Asthma,Mild
Eupatorium Perfoliatum,Pill,Eupatorium perfoliatum,Homeopathy,–,–,Respiratory symptoms,Mild
Auxiliary Intermediations To The Orthodox Precaution,,,,,,,
Vishasura Kudineer,Pill,Poly-herbal preparation,Siddha,Liquid extract 60 ml,Two times/day,High body Temperature ,Mild
Kaba Sura Kudineer,Pill,Poly-herbal preparation,Siddha,Liquid extract Decoction 60 ml,Two times/day,"High body temperature, cough, sore throat, shortness of breath",Mild
